txn_id,user_id,timestamp,txn_amount,category,transaction_hour,is_weekend,hour_sin,hour_cos,txn_count_today,daily_total_spent,remaining_daily_capacity,txn_count_prev_7d,avg_spend_last_7days,spending_velocity_ratio,income_tier,user_tenure_days,is_new_user,pressure_score,monthly_savings_so_far,user_savings_streak,days_since_last_txn,clean_number_tier,rounded_amount,roundup_amount
TXN_00000001,USR_0001,2024-09-02 09:39:46,464,food_delivery,9,0,0.7071,-0.7071,1,0.0,600.0,0,450.0,1.0311,Low,229,0,0.0288,0,0,0,3,500,36
TXN_00000002,USR_0001,2024-09-02 13:53:43,460,ride_sharing,13,0,-0.2588,-0.9659,2,464.0,136.0,0,450.0,1.0222,Low,229,0,0.8883,36,0,0,3,500,40
TXN_00000003,USR_0001,2024-09-02 18:12:46,130,ride_sharing,18,0,-1.0,-0.0,3,924.0,-324.0,0,450.0,0.2889,Low,229,0,0.95,76,0,0,3,150,20
TXN_00000004,USR_0001,2024-09-14 08:48:51,360,shopping,8,1,0.866,-0.5,1,0.0,600.0,0,450.0,0.8,Low,241,0,0.0092,96,0,12,3,400,40
TXN_00000005,USR_0001,2024-09-14 13:16:36,692,ride_sharing,13,1,-0.2588,-0.9659,2,360.0,240.0,0,450.0,1.5378,Low,241,0,0.7099,136,0,0,3,750,58
TXN_00000006,USR_0001,2024-09-14 18:42:01,671,ride_sharing,18,1,-1.0,-0.0,3,1052.0,-452.0,0,450.0,1.4911,Low,241,0,0.95,194,0,0,3,700,29
TXN_00000007,USR_0001,2024-09-14 18:56:02,608,ride_sharing,18,1,-1.0,-0.0,4,1723.0,-1123.0,0,450.0,1.3511,Low,241,0,0.95,223,0,0,3,650,42
TXN_00000008,USR_0001,2024-09-17 06:11:29,694,shopping,6,0,1.0,0.0,1,0.0,600.0,4,582.75,1.1909,Low,244,0,0.0169,265,0,3,3,750,56
TXN_00000009,USR_0001,2024-09-17 18:11:42,110,ride_sharing,18,0,-1.0,-0.0,2,694.0,-94.0,4,582.75,0.1888,Low,244,0,0.95,321,0,0,3,150,40
TXN_00000010,USR_0001,2024-09-19 07:33:26,575,ecommerce,7,0,0.9659,-0.2588,1,0.0,600.0,6,522.5,1.1005,Low,246,0,0.0222,361,0,2,3,600,25
TXN_00000011,USR_0001,2024-09-19 09:24:06,493,ecommerce,9,0,0.7071,-0.7071,2,575.0,25.0,6,522.5,0.9435,Low,246,0,0.95,386,0,0,3,550,57
TXN_00000012,USR_0001,2024-09-19 15:25:21,211,food_delivery,15,0,-0.7071,-0.7071,3,1068.0,-468.0,6,522.5,0.4038,Low,246,0,0.95,443,0,0,3,250,39
TXN_00000013,USR_0001,2024-09-21 18:50:03,617,shopping,18,1,-1.0,-0.0,1,0.0,600.0,9,490.44,1.258,Low,248,0,0.037,482,0,2,3,650,33
TXN_00000015,USR_0001,2024-09-29 10:13:07,590,shopping,10,1,0.5,-0.866,2,333.0,267.0,0,450.0,1.3111,Low,256,0,0.6841,582,0,0,3,650,60
TXN_00000014,USR_0001,2024-09-29 10:18:12,333,food_delivery,10,1,0.5,-0.866,1,0.0,600.0,0,450.0,0.74,Low,256,0,0.0144,515,0,8,3,400,67
TXN_00000016,USR_0001,2024-09-29 13:50:41,418,food_delivery,13,1,-0.2588,-0.9659,3,923.0,-323.0,0,450.0,0.9289,Low,256,0,0.95,642,0,0,3,450,32
TXN_00000017,USR_0001,2024-09-29 19:43:41,429,food_delivery,19,1,-0.9659,0.2588,4,1341.0,-741.0,0,450.0,0.9533,Low,256,0,0.95,674,0,0,3,450,21
TXN_00000018,USR_0001,2024-09-30 18:31:17,492,food_delivery,18,0,-1.0,-0.0,1,0.0,600.0,4,442.5,1.1119,Low,257,0,0.0122,695,6,1,3,550,58
TXN_00000019,USR_0001,2024-09-30 18:55:07,425,ecommerce,18,0,-1.0,-0.0,2,492.0,108.0,4,442.5,0.9605,Low,257,0,0.926,753,0,0,3,450,25
TXN_00000020,USR_0001,2024-10-01 07:40:22,219,food_delivery,7,0,0.9659,-0.2588,1,0.0,600.0,6,447.83,0.489,Low,258,0,0.012,0,7,1,3,250,31
TXN_00000021,USR_0001,2024-10-01 09:59:04,548,ecommerce,9,0,0.7071,-0.7071,2,219.0,381.0,6,447.83,1.2237,Low,258,0,0.4775,31,0,0,3,600,52
TXN_00000022,USR_0001,2024-10-02 08:40:25,230,ecommerce,8,0,0.866,-0.5,1,0.0,600.0,8,431.75,0.5327,Low,259,0,0.0075,83,8,1,3,250,20
TXN_00000023,USR_0001,2024-10-02 14:51:30,291,ecommerce,14,0,-0.5,-0.866,2,230.0,370.0,8,431.75,0.674,Low,259,0,0.5052,103,0,0,3,350,59
TXN_00000024,USR_0001,2024-10-02 15:29:52,202,food_delivery,15,0,-0.7071,-0.7071,3,521.0,79.0,8,431.75,0.4679,Low,259,0,0.95,162,0,0,3,250,48
